,Norcal Counties
0,Alameda
1,Alpine
2,Amador
3,Butte
4,Calaveras
5,Colusa
6,Contra Costa
7,Del Norte
8,El Dorado
9,Fresno
10,Glenn
11,Humboldt
12,Inyo
13,Kings
14,Lake
15,Lassen
16,Madera
17,Marin
18,Mariposa
19,Medocino
20,Merced
21,Modoc
22,Mono
23,Monterey
24,Napa
25,Nevada
26,Placer
27,Plumas
28,Sacramento
29,San Benito
30,San Francisco
31,San Joaquin
32,San Mateo
33,Santa Clara
34,Santa Cruz
35,Shasta 
36,Sierra
37,Siskiyou
38,Solano
39,Sonoma
40,Stanislaus
41,Sutter
42,Tehama
43,Trinity
44,Tulare
45,Tuolumne
46,Yolo 
47,Yuba
